CODICEIDENTIFICATIVOSITO;DENOMINAZIONESITOLOGISTICO;INDIRIZZO;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;LATITUDINE;LONGITUDINE;LOCALIZE
002713;sanitaria dott.ssa m.ederiferi;via principe di napoli 44;09195641007;00062;058013;Bracciano;058;RM;Roma;120;Lazio;01/02/2007;-;42.10277;12.17553;1
002777;Farma Point S.r.l.;Via Franco Bartoloni,83;09318791002;00179;058091;Roma;058;RM;Roma;120;Lazio;01/02/2007;31/03/2009;41.86663;12.52777;1
002783;PROFARM di Stefania Antonia Di Litta & C. S. a. s.;via del lido 94 - Centro Commerciale Morbella;02345990598;04100;059011;Latina;059;LT;Latina;120;Lazio;01/02/2007;31/01/2009;41.46757;12.9036;1
002792;parafarmacia Pharma Store;Via A. Ciamarra 21;09289091002;00173;058091;Roma;058;RM;Roma;120;Lazio;01/02/2007;31/07/2012;41.86855;12.4939;1
002834;AUCHAN;VIALE BRAMANTE S.N.C.;03349310965;00054;058120;Fiumicino;058;RM;Roma;120;Lazio;01/03/2007;-;41.88756;12.22867;1
002836;AUCHAN;VIA ALBERTO POLLIO 50;03349310965;00100;058091;Roma;058;RM;Roma;120;Lazio;01/03/2007;-;41.89945;12.53334;1
002858;"""Il Fior di Loto"" di Catoni Mauro & c. s.a.s.";via Mario Intreccialagli n. 12;08195921005;00040;058060;Montecompatri;058;RM;Roma;120;Lazio;01/03/2007;-;41.83945;12.73171;1
002861;Ipermercato CARREFOUR Torvergata;Viale Schiavonetti 426;08652300156;00173;058091;Roma;058;RM;Roma;120;Lazio;01/03/2007;-;41.84314;12.60607;1
002887;erboristeria in sole;via paolo borsellino 16;07438681004;00052;058029;Cerveteri;058;RM;Roma;120;Lazio;01/03/2007;-;41.98621;12.09492;1
002900;ITFARMA S.r.l.;Viale degli Astri 116-118;13161751006;00144;058091;Roma;058;RM;Roma;120;Lazio;01/03/2015;-;41.81187;12.44654;1
002900;Olivieri Farmaci di Olivieri Angela;Viale degli Astri 116-118;09278181004;00144;058091;Roma;058;RM;Roma;120;Lazio;01/03/2007;28/02/2015;41.81187;12.44654;1
002923;FARMA SI' S.A.S.;Via OBERDAN, 59;02796060594;04100;059011;Latina;059;LT;Latina;120;Lazio;01/03/2015;-;41.46635;12.87783;1
002923;FARMASI' HEALTH STORE snc;VIA OBERDAN, 59;02356090593;04100;059011;Latina;059;LT;Latina;120;Lazio;01/03/2007;28/02/2015;41.46635;12.87783;1
002929;PARAFARMACIA ROMA LUGHEZZA;Via Collatina, 858;02159750278;00155;058091;Roma;058;RM;Roma;120;Lazio;01/03/2007;30/11/2010;41.90054;12.56698;1
002940;PARAFARMACIA CENTRO COMMERCIALE ROMA EST;VIA COLLATINA KM 12.800;06887121009;00100;058091;Roma;058;RM;Roma;120;Lazio;01/03/2007;30/11/2008;41.90151;12.46077;1
002974;parafarmacia dott.ssa luisa paragliola;viale s.g.bosco 26;09395871008;00175;058091;Roma;058;RM;Roma;120;Lazio;01/03/2007;-;41.92368;12.57115;1
002987;erboristeria la malvarosa-esercizio farmaceutico;viale san lorenzo 10;07364091004;00040;058117;Ardea;058;RM;Roma;120;Lazio;01/03/2007;31/07/2012;41.56954;12.5337;1
003021;filrodi s.r.l.;via gaetano arturo crocco 65/67;09206341001;00148;058091;Roma;058;RM;Roma;120;Lazio;01/03/2007;-;41.82282;12.39595;1
003080;Parafarmacia;Via di Torrevecchia, 122;09250431005;00168;058091;Roma;058;RM;Roma;120;Lazio;01/04/2007;-;41.9114;12.39958;1
003146;parafarmacia dott. Maria Conte;via appia, 752;02367610595;04028;059014;Minturno;059;LT;Latina;120;Lazio;01/04/2007;-;41.24859;13.74172;1
003172;Parafarmacia Dr. Santoro Alessandro;via maremmana III s.n.c.;09386811005;00030;058119;San cesareo;058;RM;Roma;120;Lazio;01/04/2007;-;41.82739;12.78679;1
003181;Carina S.r.l.;via aurelia nord, km 76,00;05849301006;00053;058032;Civitavecchia;058;RM;Roma;120;Lazio;01/02/2014;28/02/2015;42.0925;11.79568;1
003181;Disco S.r.l.;via aurelia nord, km 76,00;05849301006;00053;058032;Civitavecchia;058;RM;Roma;120;Lazio;01/04/2007;31/01/2014;42.0925;11.79568;1
003181;Parafarmacia Conad;Via aurelia nord, km 76,00;05663761004;00053;058032;Civitavecchia;058;RM;Roma;120;Lazio;01/03/2015;-;42.0925;11.79568;1
003195;Parafarmacia di Gattini Marta;via delle Albizzie, 52;09337781000;00172;058091;Roma;058;RM;Roma;120;Lazio;01/05/2007;28/02/2009;41.88427;12.56199;1
003255;parafarmacia dott.ssa Polizzo sas di Elvira Polizzo e C.;via mario broglio 41;09415551002;00173;058091;Roma;058;RM;Roma;120;Lazio;01/01/2011;-;41.83343;12.58075;1
003255;parafarmacia el.pa. srl;via mario broglio 41;09415551002;00173;058091;Roma;058;RM;Roma;120;Lazio;01/05/2007;31/12/2010;41.83343;12.58075;1
003272;L'elisir;P.zza G.Ambrosini 4;09060081008;00156;058091;Roma;058;RM;Roma;120;Lazio;01/05/2007;-;41.92368;12.57115;1
003289;Parafarmacia Sanitaria Dott.ssa Ercolani;via di Casal selce 296;09158331000;00166;058091;Roma;058;RM;Roma;120;Lazio;01/05/2007;-;41.88455;12.33394;1
003298;PARAFARMACIAPIU' SNC;VIA DI PORTA MAGGIORE 19/21;09321151004;00185;058091;Roma;058;RM;Roma;120;Lazio;01/05/2007;-;41.89258;12.51198;1
003331;sanitaria bf srl;v.le ratto delle sabine 30a;08700201000;00131;058091;Roma;058;RM;Roma;120;Lazio;01/05/2007;-;41.94363;12.59976;1
003335;SANITARIA COVIELLO;VIA XXI MAGGIO 53;00839740578;02032;057027;Fara in sabina;057;RI;Rieti;120;Lazio;01/05/2007;-;42.20927;12.7293;1
003404;PARAFARMACIA DOTT. LENZI;VIA DELL'OLMO SNC;02366610596;04100;059011;Latina;059;LT;Latina;120;Lazio;01/06/2007;-;41.46635;12.87783;1
003406;presso CAFFE' TROMBETTA  S.p.A.;via Cassia 340/342;06501580721;00191;058091;Roma;058;RM;Roma;120;Lazio;01/06/2007;31/10/2008;42.08192;12.37295;1
003408;AUCHAN;VIA DELLE VIGNE NUOVE;03349310965;00139;058091;Roma;058;RM;Roma;120;Lazio;01/06/2007;-;41.95816;12.53567;1
003441;Ortopedia L'Arto srl;Via della Pisana 255;09351611000;00163;058091;Roma;058;RM;Roma;120;Lazio;01/12/2010;-;41.88011;12.4172;1
003441;Sanitaria Pisana S.r.l.;Via della Pisana 255;09351611000;00163;058091;Roma;058;RM;Roma;120;Lazio;01/06/2007;30/11/2010;41.88011;12.4172;1
003451;Parafarmacia;via Luciano Zuccoli n 57;09526511002;00137;058091;Roma;058;RM;Roma;120;Lazio;01/06/2007;31/10/2009;41.95008;12.54492;1
003471;Apoteca dr. Melchiorre s.r.l.;via Ugo de' Carolis 76/d;09370951007;00136;058091;Roma;058;RM;Roma;120;Lazio;01/06/2007;31/07/2013;41.92063;12.43811;1
003492;erbosanitaria finalpa srl;via di Casal Selce 383/v;06521431004;00166;058091;Roma;058;RM;Roma;120;Lazio;01/06/2007;-;41.92368;12.57115;1
003525;farmapoint;via ausonia km 10,300;02345830596;03047;060063;San giorgio a liri;060;FR;Frosinone;120;Lazio;01/07/2007;-;41.40412;13.76131;1
003533;Punto Salute dott.ssa Toti Maria s.n.c.;Via Casilina sud, Km 92,700;02427160607;03027;060058;Ripi;060;FR;Frosinone;120;Lazio;01/07/2007;-;41.61102;13.42631;1
003542;parafarmacia d.ssa Rivela Elisabetta;via san casciano dei bagni n°41;09501931001;00146;058091;Roma;058;RM;Roma;120;Lazio;01/07/2007;-;41.92368;12.57115;1
003565;PARAFARMACIA SNC - D.SSA PELUSO & C.;VIA XXIV MAGGIO 53;09481921006;00187;058091;Roma;058;RM;Roma;120;Lazio;01/05/2009;30/09/2009;41.69347;12.77948;1
003565;PARAFARMACIA SNC - D.SSA PELUSO E STEFANI & C.;VIA XXIV MAGGIO 53;09481921006;00187;058091;Roma;058;RM;Roma;120;Lazio;01/07/2007;30/04/2009;41.69347;12.77948;1
003567;parafarmacia dott.ssa del monte dott. tignanelli;località finocchieto;02480160601;03012;060006;Anagni;060;FR;Frosinone;120;Lazio;01/07/2007;-;41.74472;13.15269;1
003583;parafarmaciaporatto;piazza della balduina 38;06838591003;00136;058091;Roma;058;RM;Roma;120;Lazio;01/07/2007;-;41.91953;12.44159;1
003605;Medipharm srl;Via merulana,129;08860411001;00185;058091;Roma;058;RM;Roma;120;Lazio;01/07/2007;-;41.88819;12.50427;1
003623;MAPIFAR srl;viale Europa, 54;02465330609;03100;060038;Frosinone;060;FR;Frosinone;120;Lazio;01/07/2007;-;41.63416;13.33247;1
003629;erboristeria il fiore;via Pellegrino Matteucci 47;10091180587;00154;058091;Roma;058;RM;Roma;120;Lazio;01/07/2007;-;41.87166;12.48456;1
003633;PARAFARMACIA CASTEL PORZIANO S.R.L.;VIA ORAZIO VECCHI 10 C/D;09550961008;00124;058091;Roma;058;RM;Roma;120;Lazio;01/07/2007;-;41.92368;12.57115;1
003637;PARAFARMACIA CENTRO COMMERCIALE PORTA DI ROMA;VIA DELLE VIGNE NUOVE SNC;06887121009;00100;058091;Roma;058;RM;Roma;120;Lazio;01/07/2007;30/11/2008;41.90151;12.46077;1
003638;PARAFARMACIA TORRINO;VIA DI MOSTACCIANO 10/12;06887121009;00100;058091;Roma;058;RM;Roma;120;Lazio;01/07/2007;-;41.81497;12.43226;1
003655;La Farmacista Beta sas;Via G. Iannicelli, 88;09695061003;00135;058091;Roma;058;RM;Roma;120;Lazio;01/11/2007;31/12/2011;41.92368;12.57115;1
003655;La Farmacista Dott.ssa D'Elia Adarita;Via G. Iannicelli, 88;09695061003;00135;058091;Roma;058;RM;Roma;120;Lazio;01/07/2007;31/10/2007;41.92368;12.57115;1
003656;La Farmacista;Via della Lucchina,96;09695061003;00135;058091;Roma;058;RM;Roma;120;Lazio;01/11/2007;-;41.96085;12.40302;1
003656;La Farmacista Dott.ssa D'Elia Adarita;Via della Lucchina,96;09695061003;00135;058091;Roma;058;RM;Roma;120;Lazio;01/07/2007;31/10/2007;41.96085;12.40302;1
003664;Spaziofarma;via Traversa Paolo Borsellino, 3;01898590565;00062;058013;Bracciano;058;RM;Roma;120;Lazio;01/07/2007;-;42.09855;12.16188;1
003673;LA FARMACISTA - dott.sa Angela BRUNETTI;Via Giosuè Carducci, n.30;09533621000;00061;058082;Rignano flaminio;058;RM;Roma;120;Lazio;01/08/2007;31/08/2011;42.21043;12.48129;1
003696;APOTECA BENESSERE S.R.L.;VIA PICASSO snc - CENTRO COMM. MORBELLA;02357180591;04100;059011;Latina;059;LT;Latina;120;Lazio;01/08/2007;-;41.46757;12.9036;1
003705;FARMA + ERBE SRL;VIA.G.AMENDOLA 9;10735481003;00045;058043;Genzano di roma;058;RM;Roma;120;Lazio;01/01/2012;-;41.70243;12.68667;1
003705;MARO SRL;VIA.G.AMENDOLA 9;10735481003;00045;058043;Genzano di roma;058;RM;Roma;120;Lazio;01/08/2007;31/12/2011;41.70243;12.68667;1
003706;SANITARIA D'AMBROGI;VIA G. MATTEOTTI 55;05524570586;00048;058072;Nettuno;058;RM;Roma;120;Lazio;01/08/2007;-;41.47722;12.69403;1
003709;FARMASALUS CORSO VITTORIO;CORSO VITTORIO EMANUELE II, 103/105;09584121009;00186;058091;Roma;058;RM;Roma;120;Lazio;01/08/2007;-;41.89621;12.47625;1
003718;Farmaceutica Sanitaria Erb. dott. Angelina Lodi;via Nomentana n° 132;00381161009;00013;058059;Mentana;058;RM;Roma;120;Lazio;01/08/2007;-;42.04086;12.6634;1
003721;Parafarmacia Dr. lembo;via della riserva nuova 252;09577141006;00132;058091;Roma;058;RM;Roma;120;Lazio;01/08/2007;-;41.89361;12.67867;1
003771;Parafarmacia D.ssa Rivela Rita;Via Satrico n°67;09586151004;00183;058091;Roma;058;RM;Roma;120;Lazio;01/08/2007;-;41.87779;12.50593;1
003788;erboristeria l'altea;via tommaso da celano 54;09026200585;00179;058091;Roma;058;RM;Roma;120;Lazio;01/08/2007;31/01/2009;41.87121;12.51544;1
003791;Parafarmacia Noipharma;Via delle Palme, 7c - 7d;02390570592;04011;059001;Aprilia;059;LT;Latina;120;Lazio;01/07/2008;31/01/2011;41.591;12.64944;1
003791;Spaziofarma;Via delle Palme, 7c - 7d;02390570592;04011;059001;Aprilia;059;LT;Latina;120;Lazio;01/09/2007;30/06/2008;41.591;12.64944;1
003841;PARAPHARMA GOLD S.R.L.;VIA FLAMINIA NUOVA KM 8,200;09530721001;00189;058091;Roma;058;RM;Roma;120;Lazio;01/09/2007;31/12/2011;41.90151;12.46077;1
003854;DI BARTOLOMEO MARIA ROSA;PIAZZALE LIDO;02378190595;04019;059032;Terracina;059;LT;Latina;120;Lazio;01/09/2007;-;41.31583;13.19094;1
003863;PARAFARMACIA UMBRA;VIA NOCERA UMBRA, 27;09633021002;00181;058091;Roma;058;RM;Roma;120;Lazio;01/09/2007;-;41.87688;12.52628;1
003876;Farmavitae uno;via Cavour n. 112;09627321004;00184;058091;Roma;058;RM;Roma;120;Lazio;01/09/2007;-;41.92368;12.57115;1
003885;IPERCOOP TIRRENO SPA;VIA DELLA RISERVA NUOVA ANG. VIA PONTINA;00103530499;00141;059001;Aprilia;059;LT;Latina;120;Lazio;01/09/2007;31/03/2008;41.58635;12.644;1
003885;UNICOOP TIRRENO SOC. COOP.;VIA DELLA RISERVA NUOVA ANG. VIA PONTINA;00103530499;00141;059001;Aprilia;059;LT;Latina;120;Lazio;01/04/2008;-;41.58635;12.644;1
003899;CARTA MARIA CLAUDIA;VIALE DON PASQUINO BORGHI N.188/A;09529761000;00144;058091;Roma;058;RM;Roma;120;Lazio;01/09/2007;-;41.92368;12.57115;1
003912;CLORINDA CAMPOREALE;VIA BIANCAMANO 11/13;02393490590;04016;059024;Sabaudia;059;LT;Latina;120;Lazio;01/09/2007;-;41.34345;13.03046;1
003927;F.& F. di Affinito Fabio S.A.S.;Via Mortacino n.33;02377660598;04019;059032;Terracina;059;LT;Latina;120;Lazio;01/09/2007;31/05/2013;41.31583;13.19094;1
003931;Torelli Cristiana;Via Guido Rossa;09577881007;00065;058036;Fiano romano;058;RM;Roma;120;Lazio;01/09/2007;-;42.15952;12.59418;1
003951;PARAFARMACIA MADIO SANI. FARM.di MADIO GIACOMO;VIA CASILINA 1799/P;09554531005;00132;058091;Roma;058;RM;Roma;120;Lazio;01/09/2007;-;41.92368;12.57115;1
003956;parafarmacia dott.Cosacco Giuseppe Raffaele;Via Marsicana 89                                                                 via Marsicana 89;02505020608;03039;060074;Sora;060;FR;Frosinone;120;Lazio;01/10/2007;31/01/2014;41.72198;13.62134;1
003978;FARMADISCOUNT di NYL LABORATORIES SRL;VIA DUE PONTI 196/E;01838921003;00191;058091;Roma;058;RM;Roma;120;Lazio;01/10/2007;31/12/2008;41.96572;12.45192;1
003983;parafarmacia dott. Cosacco Giuseppe Raffaele;Via Marsicana;02505020608;03039;060074;Sora;060;FR;Frosinone;120;Lazio;01/10/2007;31/01/2014;41.7326;13.57597;1
003992;parafarmacia dott.Cosacco Giuseppe Raffaele;via Marsicana 89;02505020608;03039;060074;Sora;060;FR;Frosinone;120;Lazio;01/10/2007;31/01/2014;41.7243;13.62267;1
004005;FARMAMIA;via S.PERTINI 448;03371340617;02100;057059;Rieti;057;RI;Rieti;120;Lazio;01/10/2007;-;42.41779;12.898;1
004015;Metafarm s.r.l.;Via Dalmazio Birago n°8;09593601009;00042;058007;Anzio;058;RM;Roma;120;Lazio;01/10/2007;-;41.45781;12.66159;1
004054;PARAFARMACIA DEL DOTT. GIOVANNI DI GIACOMO;VIA ANTONIO TEMPESTA 234;09671551001;00176;058091;Roma;058;RM;Roma;120;Lazio;01/10/2007;-;41.8852;12.54048;1
004057;PARAFARMACIA SAN MARTINO;CORSO V. EMANUELE II° 19;02400290595;04020;059010;Itri;059;LT;Latina;120;Lazio;01/10/2007;-;41.30471;13.52762;1
004071;Parafarmacia Dott.ssa Ferraro Clara;Via Sesia,s.n.c.;09594251002;00040;058079;Pomezia;058;RM;Roma;120;Lazio;01/10/2007;30/04/2012;41.65994;12.42425;1
004077;PARAFARMACIA SANITARIA DI ANNALISA BLASI;VIA XXIV MAGGIO,18;09645821001;00047;058057;Marino;058;RM;Roma;120;Lazio;01/10/2007;-;41.76159;12.62463;1
004101;Parafarmacia Vivasalute;Via Zambarelli,31;09515891001;00152;058091;Roma;058;RM;Roma;120;Lazio;01/11/2007;-;41.87777;12.44675;1
004102;Parafarmacia Vivasalute;Piazza Roberto Malatesta,74/76;09515891001;00176;058091;Roma;058;RM;Roma;120;Lazio;01/11/2007;-;41.88703;12.54036;1
004103;Parafarmacia Vivasalute;Viale della Primavera,194;09515891001;00172;058091;Roma;058;RM;Roma;120;Lazio;01/11/2007;-;41.88483;12.56004;1
004105;ELLENO s.r.l.;Via Francesco D' Ovidio 11;09662031005;00137;058091;Roma;058;RM;Roma;120;Lazio;01/11/2007;28/02/2009;41.94199;12.54746;1
004124;PARAFARMACIA VIA GIULIA;VIA GIULIA 145;06887121009;00186;058091;Roma;058;RM;Roma;120;Lazio;01/11/2007;-;41.89441;12.46981;1
004125;PARAFARMACIA IL CASTORO;VIA DELL'IDROSCALO 12;06887121009;00121;058091;Roma;058;RM;Roma;120;Lazio;01/11/2007;30/06/2008;41.73698;12.26448;1
004126;PARAFARMACIA CENTRO COMMERCIALE DIMA SHOPPING;VIA DI BUFALOTTA 548;06887121009;00139;058091;Roma;058;RM;Roma;120;Lazio;01/11/2007;-;41.953;12.54388;1
004133;medicalsan2007;via siculiana 170;09553311003;00133;058091;Roma;058;RM;Roma;120;Lazio;01/11/2007;-;41.87437;12.65189;1
004150;"PARAFARMACIA "" PADRE PIO "" s.a.s. di G. CARE' & C.";frazione CORVARO - via Marsicana, 16;09507871003;02021;057007;Borgorose;057;RI;Rieti;120;Lazio;01/11/2007;30/04/2010;42.19277;13.23585;1
004155;We care srl;Via Torino 32;09662221002;00184;058091;Roma;058;RM;Roma;120;Lazio;01/11/2007;31/08/2009;41.4859;12.61972;1
004182;beautyemedical sas;largo delle sette chiese n°15;04357041005;00145;058091;Roma;058;RM;Roma;120;Lazio;01/11/2007;-;41.86081;12.48638;1
004191;PARAFARMACIA MEDIFARMA;VIA DEGLI ORTAGGI, 38-40;09706121002;00157;058091;Roma;058;RM;Roma;120;Lazio;01/11/2007;-;41.91144;12.53781;1
004192;FARMAINFORMA snc Dott. Raponi e Dott. Diomaiuta;V.le Mazzini, 35/37;02512900602;03100;060038;Frosinone;060;FR;Frosinone;120;Lazio;01/11/2007;31/10/2010;41.63763;13.34965;1
004192;FARMAINFORMA srl Dott. Raponi e Dott. Diomaiuta;V.le Mazzini, 80;02512900602;03100;060038;Frosinone;060;FR;Frosinone;120;Lazio;01/11/2010;31/12/2013;41.63763;13.34965;1
004197;Farmacity s.n.c.;Piazza Attilio Omodei Zorini 26-29;09694671000;00166;058091;Roma;058;RM;Roma;120;Lazio;01/11/2007;31/01/2012;41.91155;12.38918;1
004234;BIBLIOTHE SRL;CORSO DELLA REPUBBLICA;09188851001;00049;058111;Velletri;058;RM;Roma;120;Lazio;01/11/2007;-;41.68969;12.77908;1
004242;Pharmamedical del dott. Viti Daniele S.r.l.;via G. Saragat, 1;09713671007;00045;058043;Genzano di roma;058;RM;Roma;120;Lazio;01/12/2007;-;41.70678;12.68426;1
004252;PARAFARMACIA APM;VIA SALARIA, 223;05843451005;00015;058065;Monterotondo;058;RM;Roma;120;Lazio;01/12/2007;-;42.07609;12.60445;1
